"","local","X1","X2","X3","X4","X5","X6","X7","τPSII","τPQ","ETR","NPQ","FvFm","P","S","SymLipids","SymProtein","SymCarbs","Volume","Photo","Chla","PRratio","Density","PROT","CARB","PhotoChla"
"24","C15b.8","T","Nikko","Porites-rus","C15b","10","8","NP8-10",16300,1789,220147.499,0.222592703,0.438,0.13,191,0.000587247943590213,0.00158687386691726,0.00208100103292068,562.3977479,8.33620478583356e-09,9.9140173902601,5.199738998,0.106027121213007,198.129524614161,0.134405795279732,0.0840850329153483
"25","C15a.1","T","Offshore","Porites-rus","C15a","10","1","OP1-10",16567,2726,210953.907,0.674677985,0.391,0.16,183,0.000733404061217485,0.0010623942187557,0.00219078747834052,399.1895586,8.1502320579144e-10,7.89296088284008,0.328814596,0.152467189496318,327.207516642696,0.912100051182049,0.0103259501458238
"26","C15a.2","T","Offshore","Porites-rus","C15a","10","2","OP2-10",8284,2999,571000.122,-0.037242913,0.378,0.07,205,0.000669215486945338,0.000584047112350108,0.0012769249573505,449.3204228,3.3330985747675e-09,4.32969229237963,17.62265671,0.24005585805846,457.677286964031,1.23171197145153,0.0769823430786026
"27","C15a.3","T","Offshore","Porites-rus","C15a","10","3","OP3-10",13005,2607,342623.9245,0.055127445,0.273,0.35,192,NA,0.000928659126840708,0.00234130840561827,626.9781586,5.86587548118831e-09,4.39541697532465,7.983486076,0.139307196048212,144.202397478829,1.24516079169569,0.133454357439093
"28","C15a.4","T","Offshore","Porites-rus","C15a","10","4","OP4-10",13044,2422,NA,NA,0.355,0.25,194,0.000540934188255324,0.000990628241757603,0.00248081481609073,513.542685,3.4745724362716e-09,5.51128335275145,2.839067134,0.236383803388854,503.940757715621,2.14984030540002,0.0630447069018319
"29","C15a.5","T","Offshore","Porites-rus","C15a","10","5","OP5-10",14485,3451,285304.914,0.183199562,0.226,0.5,171,0.000522279597354464,0.000737034993240003,0.00129761917843576,507.6465937,1.86477451166893e-09,4.85008797616694,1.000000001,0.257185152906225,178.319434236206,0.572280073745296,0.0384482615744772
"30","C15a.6","T","Offshore","Porites-rus","C15a","10","6","OP6-10",14153,2265,355948.128,0.019879518,0.327,0.34,162,0.00163652246025338,0.00201612122785315,0.00305987191472587,484.1059459,5.81606425051347e-09,6.74092101714553,3.407685751,0.105334580809311,398.436922187139,0.874165567886623,0.0862799643508702
"31","C15a.7","T","Offshore","Porites-rus","C15a","10","7","OP7-10",12416,2295,NA,NA,0.241,0.54,209,0.000809396279171851,0.00121321233148594,0.0036776580262586,448.286017,2.52559379239266e-09,4.84654742041902,4.456265825,0.144431169549737,338.741739806616,0.27704699530304,0.0521111953171461
"33","C15c.1","C","Nikko","Porites-cylindrica","C15c","10","1","NPC1-4",20642,1414,140852.768,1.045138889,0.494,0.06,169,0.000393608663158014,0.000898335342944788,0.000974548933723745,459.674165,1.58548809516758e-09,1.54361337717844,1.787869908,0.689458427875498,391.960284770434,1.0889832917682,0.1027127724214
"34","C15c.2","C","Nikko","Porites-cylindrica","C15c","10","2","NPC2-4",19395,1111,341767.446,0.479090909,0.504,0.04,185,0.000297092448752315,0.000715366013174699,0.000973910656336313,571.9413227,1.51633734223329e-09,2.30062667681988,2.1781631,1.226119007214,738.354661036972,2.07376226684675,0.0659097522214815
"35","C15c.3","C","Nikko","Porites-cylindrica","C15c","10","3","NPC3-4",20069,1056,372253.744,0.37470726,0.514,0.04,182,0.000291860188834889,0.000826408756981609,0.000923150853890738,460.361991,1.54002077924321e-09,0.325977757074494,2.405626444,1.35344438321657,891.398147989677,2.00488053710135,0.472431245942733
